specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-027_std_2,14,core,3083,323,331,0.9894,9.0,0.0,0.0,9.0
Rec-027_std_2,14,core,3084,328,331,0.9867,5.0,0.0,0.0,5.0
Rec-027_std_2,14,core,3085,332,331,0.9895,4.0,0.0,0.0,4.0
Rec-027_std_2,14,core,3086,337,331,0.9874,5.0,0.0,0.0,5.0
Rec-027_std_2,14,core,3087,341,331,0.9889,4.0,0.0,0.0,4.0
Rec-027_std_2,14,core,3088,346,331,0.9866,5.0,0.0,0.0,5.0
Rec-027_std_2,14,core,3089,350,331,0.9877,4.0,0.0,0.0,4.0
Rec-027_std_2,14,core,3090,355,330,0.993,5.0,-1.0,11.31,5.1
Rec-027_std_2,14,post,3091,345,330,0.9926,-10.0,0.0,180.0,10.0
Rec-027_std_2,14,post,3092,344,330,0.9941,-1.0,0.0,180.0,1.0
Rec-027_std_2,14,post,3093,345,330,0.9917,1.0,0.0,0.0,1.0
Rec-027_std_2,14,post,3094,347,331,0.9856,2.0,1.0,-26.57,2.24
Rec-027_std_2,14,post,3095,349,330,0.9925,2.0,-1.0,26.57,2.24
Rec-027_std_2,15,pre,3207,298,330,0.9882,,,,
Rec-027_std_2,15,pre,3208,293,330,0.9887,-5.0,0.0,180.0,5.0
